2.1175 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.3342 	INFO 	Loaded monitor calibration from ['2023_11_03 15:33']
13.3351 	ERROR 	'0.5000, 0.5000, 0.5000' is not a valid rgb color
13.3407 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
14.9962 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024B98D26FA0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024B9C094C40>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.9963 	EXP 	window1: mouseVisible = True
14.9964 	EXP 	window1: mouseVisible = False
14.9964 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.9964 	EXP 	window1: recordFrameIntervals = False
15.1628 	EXP 	window1: recordFrameIntervals = True
15.3460 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
15.3461 	EXP 	window1: recordFrameIntervals = False
17.7714 	INFO 	keyboard.Keyboard is using iohub backend.
17.7714 	EXP 	window1: mouseVisible = False
17.8934 	EXP 	Created welcome_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='welcome_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1.3)
17.8935 	INFO 	keyboard.Keyboard is using iohub backend.
